№,区,緊急避難場所の利用,名称,住所,緯度,経度,郵便番号,地震,津波,大火,備考
0001,東灘,○,本庄小学校グラウンド,神戸市東灘区青木4-4-1,34.7210557,135.2884418,658-0027,,×,,《津波時》国道2号より山側へ避難すること
0002,東灘,○,本庄中学校グラウンド,神戸市東灘区青木4-4-2,34.7205058,135.2874503,658-0027,,×,,《津波時》国道2号より山側へ避難すること
0003,東灘,○,本庄中央公園,神戸市東灘区青木5-18,34.7195558,135.2850366,658-0027,,×,,《津波時》国道2号より山側へ避難すること
0004,東灘,○,神戸大学テニスコート,神戸市東灘区青木4-1,34.7196558,135.2884419,658-0027,,×,,《津波時》国道2号より山側へ避難すること
0005,東灘,○,本山第二小学校グラウンド,神戸市東灘区西岡本1-3-1,34.7252522,135.2694823,658-0073,,,,
0006,東灘,○,本山中学校グラウンド,神戸市東灘区岡本3-3-1,34.7255411,135.2708488,658-0072,,,,
0007,東灘,○,住吉小学校グラウンド,神戸市東灘区住吉東町4-1-31,34.7172585,135.2643941,658-0052,,,,
0008,東灘,○,住吉宮町公園,神戸市東灘区住吉宮町3-2,34.7167336,135.2633581,658-0053,,,,
0009,東灘,○,住吉公園,神戸市東灘区住吉宮町3-3,34.7162364,135.2624276,658-0053,,,,
0010,東灘,○,御影小学校グラウンド,神戸市東灘区御影石町3-1-1,34.7151892,135.2515313,658-0045,,,,
0011,東灘,○,御影幼稚園グラウンド,神戸市東灘区御影石町3-13-1,34.7155892,135.2512924,658-0045,,,,
0012,東灘,○,渦が森小学校グラウンド,神戸市東灘区渦森台1-12-1,34.7388364,135.2506612,658-0066,,,,
0013,東灘,○,福池小学校グラウンド,神戸市東灘区本山南町4-4-28,34.7212528,135.2788038,658-0015,,,,
0014,東灘,○,小寄公園,神戸市東灘区本山南町4-4,34.7214278,135.2795343,658-0015,,,,
0015,東灘,○,神大附属中等教育学校グラウンド,神戸市東灘区住吉山手5-11-1,34.7320511,135.2542306,658-0063,,,,
0016,東灘,○,本山南中学校グラウンド,神戸市東灘区田中町4-12-1,34.7229969,135.270485,658-0081,,,,
0017,東灘,○,手水公園,神戸市東灘区田中町3-16,34.7238496,135.2711016,658-0081,,,,
0018,東灘,○,御影中学校グラウンド,神戸市東灘区御影中町5-1-1,34.7156447,135.2535562,658-0054,,,,
0019,東灘,○,御影公園,神戸市東灘区御影中町5-1,34.7156535,135.2535868,658-0054,,,,
0020,東灘,○,魚崎中学校グラウンド,神戸市東灘区魚崎南町1-2-1,34.7129508,135.2793429,658-0025,,×,,《津波時》国道2号より山側へ避難すること
0021,東灘,○,瀬戸公園,神戸市東灘区魚崎南町1-2,34.7127397,135.2801512,658-0025,,×,,《津波時》国道2号より山側へ避難すること
0022,灘,○,神戸大学,神戸市灘区六甲台町1-1,34.7256602,135.2336932,657-0013,,,,
0023,灘,○,成徳小学校グラウンド,神戸市灘区備後町1-3-1,34.7155114,135.2418541,657-0037,,,,
0024,灘,○,成徳公園,神戸市灘区備後町1-3,34.7153309,135.2420235,657-0037,,,,
0025,灘,○,大和公園,神戸市灘区中郷町5-1,34.7154781,135.2435651,657-0032,,,,
0026,灘,○,王子公園,神戸市灘区王子町2-1,34.7100258,135.2169476,657-0838,,,,
0027,灘,○,西郷川河口公園,神戸市灘区摩耶海岸通2-1,34.7021519,135.2248194,657-0855,,,,
0028,灘,○,摩耶海岸通公園,神戸市灘区摩耶海岸通1-2,34.7000798,135.2215447,657-0855,,×,,《津波時》念のため海岸から離れ、北へ避難すること。
0029,中央,○,上筒井小学校グラウンド,神戸市中央区野崎通1-1-2,34.71062,135.2113454,651-0054,,,,
0030,中央,○,筒井台中学校グラウンド,神戸市中央区野崎通1-1-3,34.7093146,135.2100705,651-0054,,,,
0031,中央,○,葺合高校グラウンド,神戸市中央区野崎通1-1-1,34.7110866,135.2105038,651-0054,,,,
0032,中央,○,なぎさ公園,神戸市中央区脇浜海岸通1-2,34.6969216,135.2146065,651-0073,,×,,《津波時》津波浸水想定区域内にあるので、渚中学校グラウンドへ避難すること
0033,中央,○,脇浜海岸通公園,神戸市中央区脇浜海岸通4-2,34.695005,135.209196,651-0073,,×,,《津波時》津波浸水想定区域内にあるので、なぎさ小学校グラウンドへ避難すること
0034,中央,○,なぎさ小学校グラウンド,神戸市中央区脇浜海岸通2-4-1,34.6977437,135.2110179,651-0073,,,,
0035,中央,○,渚中学校グラウンド,神戸市中央区脇浜海岸通2-1-1,34.7003935,135.2167451,651-0073,,,,
0036,中央,○,東遊園地,神戸市中央区加納町6-4,34.6887998,135.196064,650-0001,,,,
0037,中央,○,磯上公園,神戸市中央区八幡町2-1,34.6951242,135.1978525,651-0085,,,,
0038,中央,○,メリケンパーク,神戸市中央区波止場町2,34.6838003,135.1890287,650-0042,,×,,《津波時》津波浸水想定区域内にあるので、山手幹線より山側へ避難すること
0039,中央,○,大倉山公園,神戸市中央区楠町7-4,34.686397,135.1729242,650-0017,,,,
0040,中央,○,湊翔楠中グラウンド,神戸市中央区楠町4-2-5,34.6839972,135.1716466,650-0017,,,,
0041,中央,○,生田川公園（ＨＡＴゆめ公園）,神戸市中央区脇浜海岸通3,34.6959771,135.2079405,651-0073,,×,,《津波時》津波浸水想定区域内にあるので、なぎさ小学校グラウンドへ避難すること
0042,中央,○,神戸震災復興記念公園（みなとのもり公園）,神戸市中央区小野浜町3,34.6877112,135.2062631,651-0082,,×,,《津波時》津波浸水想定区域内にあるので、磯上公園へ避難すること
0043,兵庫,○,湊川公園,神戸市兵庫区荒田町1-20,34.679967,135.1662804,652-0032,,,,
0044,兵庫,○,荒田公園,神戸市兵庫区荒田町2-19,34.6823501,135.1668247,652-0032,,,,
0045,兵庫,○,夢野中学校グラウンド,神戸市兵庫区鵯越町10-1,34.6823332,135.1533091,652-0057,,,,
0046,兵庫,○,夢野台公園,神戸市兵庫区滝山町,34.6839219,135.1509953,652-0056,,,,
0047,兵庫,○,会下山公園,神戸市兵庫区会下山町3,34.6761116,135.1568866,652-0043,,,,
0048,兵庫,○,会下山配水場,神戸市兵庫区湊川町10,34.6802779,135.1568282,652-0041,,,,
0049,兵庫,○,キャナルタウン広場（駅前）,神戸市兵庫区駅南通5-1,34.6654293,135.1616503,652-0897,,,,
0050,兵庫,○,兵庫駅南公園,神戸市兵庫区駅南通5-2,34.6654293,135.1616503,652-0897,,,,
0051,兵庫,○,正慶町公園,神戸市兵庫区駅南通4-1,34.6638656,135.1606865,652-0897,,,,
0052,兵庫,○,キャナルタウン広場（西）,神戸市兵庫区駅南通5-2,34.6654293,135.1616503,652-0897,,,,
0053,兵庫,○,御崎公園,神戸市兵庫区御崎町1-2,34.6576663,135.1701277,652-0855,,×,,《津波時》ノエビアスタジアムに避難すること
0054,兵庫,○,菊水公園,神戸市兵庫区菊水町3,34.6863052,135.1624445,652-0058,,,,
0055,北,○,鈴蘭公園,神戸市北区南五葉5-1,34.7225006,135.1355404,651-1132,,,,
0056,北,○,南五葉小学校グラウンド,神戸市北区南五葉3-1-1,34.722084,135.1335989,651-1132,,,,
0057,北,○,鵯越墓園,神戸市北区山田町下谷上字中一里山,34.7041413,135.1134341,651-1102,,,,
0058,長田,○,長田南小学校グラウンド,神戸市長田区神楽町1-4,34.6620795,135.1505957,653-0836,,,,
0059,長田,○,神楽公園,神戸市長田区細田町1-2,34.6630488,135.1505901,653-0835,,,,
0060,長田,○,新湊川公園,神戸市長田区細田町1,34.6633988,135.1503762,653-0835,,,,
0061,長田,○,蓮池小学校グラウンド,神戸市長田区大谷町1-1-10,34.66261,135.143138,653-0838,,,,
0062,長田,○,西代蓮池公園,神戸市長田区蓮池町,34.6641265,135.1440462,653-0837,,,,
0063,長田,○,若松公園,神戸市長田区若松町6-3,34.6554106,135.1439465,653-0038,,,,
0064,長田,○,駒ヶ林中学校グラウンド,神戸市長田区若松町7-1-23,34.6551357,135.1435632,653-0038,,,,
0065,長田,○,駅前広場,神戸市長田区若松町4-2,34.6569494,135.1458101,653-0038,,,,
0066,須磨,○,だいち小学校グラウンド,神戸市須磨区大池町5-1-52,34.6543718,135.1343057,654-0026,,,,
0067,須磨,○,須磨海浜公園,神戸市須磨区若宮町1,34.642459,135.1338894,654-0049,,×,,《津波時》念のため海岸から離れ、JR線より北へ避難すること。
0068,須磨,○,離宮公園,神戸市須磨区水野町1,34.6540441,135.1204125,654-0062,,,,
0069,須磨,○,須磨浦公園,神戸市須磨区一ノ谷町5,34.6368234,135.0990622,654-0076,,×,,《津波時》念のため海岸から離れ、JR線より北へ避難すること。
0070,須磨,○,妙法寺川公園,神戸市須磨区戸政町1,34.6533997,135.1292145,654-0034,,,,
0071,須磨,○,下中島公園,神戸市須磨区中島町1,34.6506611,135.1296868,654-0035,,,,
0072,須磨,○,妙法寺川左岸公園,神戸市須磨区大池町5,34.6558606,135.1348223,654-0026,,,,
0073,須磨,○,鷹取駅北公園,神戸市須磨区大池町5,34.6558606,135.1348223,654-0026,,,,
0074,垂水,○,塩屋中学校グラウンド,神戸市垂水区塩屋町字大谷,34.6434643,135.0775417,655-0872,,,,
0075,垂水,○,青山台東公園,神戸市垂水区青山台4-1,34.6427532,135.0756724,655-0873,,,,
0076,垂水,○,芝生公園,神戸市垂水区平磯1,34.6280909,135.0589908,655-0892,,×,,《津波時》念のため海岸から離れ、JR線より北へ避難すること
0077,垂水,○,平磯緑地,神戸市垂水区平磯1,34.6280909,135.0589908,655-0892,,×,,《津波時》念のため海岸から離れ、JR線より北へ避難すること
0078,垂水,○,マリンピア神戸,神戸市垂水区海岸通12,34.626427,135.049261,655-0036,,×,,《津波時》念のため海岸から離れ、JR線より北へ避難すること
0079,垂水,○,アジュール舞子,神戸市垂水区海岸通11,34.6288404,135.0376812,655-0036,,×,,《津波時》念のため海岸から離れ、JR線より北へ避難すること
0080,垂水,○,舞子墓園,神戸市垂水区舞子陵,34.6470497,135.0459026,655-0000,,,,
0081,垂水,○,舞子中学校グラウンド,神戸市垂水区狩口台3-1-1,34.6496683,135.0296092,655-0049,,,,
0082,垂水,○,西舞子小学校グラウンド,神戸市垂水区狩口台3-1-2,34.6497211,135.0309203,655-0049,,,,
0083,垂水,○,矢元台公園,神戸市垂水区狩口台2-7,34.6494765,135.0256817,655-0049,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
