始発駅,御崎公園,三宮・花時計前,三宮・花時計前,御崎公園,三宮・花時計前,三宮・花時計前,三宮・花時計前,御崎公園,三宮・花時計前,三宮・花時計前,御崎公園,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,御崎公園,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前,三宮・花時計前
行先駅,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,御崎公園,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田,新長田
三宮・花時計前,,5:43,5:58,,6:13,6:28,6:39,,6:50,7:00,,7:08,7:14,7:20,7:26,7:32,7:38,7:44,7:50,7:56,8:02,8:08,8:14,8:20,8:26,8:32,8:38,8:45,8:51,9:00,9:05,9:10,9:20,9:30,9:40,9:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,,16:50,17:00,17:10,17:18,17:26,17:33,17:41,17:48,17:56,18:03,18:11,18:18,18:26,18:33,18:41,18:48,18:56,19:03,19:11,19:20,19:30,19:40,19:50,20:00,20:10,20:20,20:30,20:40,20:50,21:00,21:10,21:20,21:30,21:41,21:53,22:05,22:17,22:29,22:39,22:52,23:05,23:19,23:35,23:51
旧居留地・大丸前,,5:44,5:59,,6:14,6:29,6:40,,6:51,7:01,,7:09,7:15,7:21,7:27,7:33,7:39,7:45,7:51,7:57,8:03,8:09,8:15,8:21,8:27,8:33,8:39,8:46,8:52,9:01,9:06,9:11,9:21,9:31,9:41,9:51,10:01,10:11,10:21,10:31,10:41,10:51,11:01,11:11,11:21,11:31,11:41,11:51,12:01,12:11,12:21,12:31,12:41,12:51,13:01,13:11,13:21,13:31,13:41,13:51,14:01,14:11,14:21,14:31,14:41,14:51,15:01,15:11,15:21,15:31,15:41,15:51,16:01,16:11,16:21,16:31,16:41,,16:51,17:01,17:11,17:19,17:27,17:34,17:42,17:49,17:57,18:04,18:12,18:19,18:27,18:34,18:42,18:49,18:57,19:04,19:12,19:21,19:31,19:41,19:51,20:01,20:11,20:21,20:31,20:41,20:51,21:01,21:11,21:21,21:31,21:42,21:54,22:06,22:18,22:30,22:40,22:53,23:06,23:20,23:36,23:52
みなと元町,,5:46,6:01,,6:16,6:31,6:42,,6:53,7:03,,7:11,7:17,7:23,7:29,7:35,7:41,7:47,7:53,7:59,8:05,8:11,8:17,8:23,8:29,8:35,8:41,8:48,8:54,9:03,9:08,9:13,9:23,9:33,9:43,9:53,10:03,10:13,10:23,10:33,10:43,10:53,11:03,11:13,11:23,11:33,11:43,11:53,12:03,12:13,12:23,12:33,12:43,12:53,13:03,13:13,13:23,13:33,13:43,13:53,14:03,14:13,14:23,14:33,14:43,14:53,15:03,15:13,15:23,15:33,15:43,15:53,16:03,16:13,16:23,16:33,16:43,,16:53,17:03,17:13,17:21,17:29,17:36,17:44,17:51,17:59,18:06,18:14,18:21,18:29,18:36,18:44,18:51,18:59,19:06,19:14,19:23,19:33,19:43,19:53,20:03,20:13,20:23,20:33,20:43,20:53,21:03,21:13,21:23,21:33,21:44,21:56,22:08,22:20,22:32,22:42,22:55,23:08,23:22,23:38,23:54
ハーバーランド,,5:47,6:02,,6:17,6:32,6:43,,6:54,7:05,,7:12,7:18,7:24,7:30,7:36,7:42,7:48,7:54,8:00,8:06,8:12,8:18,8:24,8:30,8:36,8:43,8:49,8:56,9:05,9:09,9:14,9:24,9:34,9:44,9:54,10:04,10:14,10:24,10:34,10:44,10:54,11:04,11:14,11:24,11:34,11:44,11:54,12:04,12:14,12:24,12:34,12:44,12:54,13:04,13:14,13:24,13:34,13:44,13:54,14:04,14:14,14:24,14:34,14:44,14:54,15:04,15:14,15:24,15:34,15:44,15:54,16:04,16:14,16:24,16:34,16:44,,16:54,17:04,17:14,17:23,17:30,17:38,17:45,17:53,18:00,18:08,18:15,18:23,18:30,18:38,18:45,18:53,19:00,19:08,19:15,19:24,19:34,19:44,19:54,20:04,20:14,20:24,20:34,20:44,20:54,21:04,21:14,21:24,21:34,21:46,21:58,22:10,22:22,22:33,22:44,22:56,23:09,23:24,23:40,23:55
中央市場前,,5:49,6:04,,6:19,6:34,6:45,,6:56,7:07,,7:14,7:20,7:27,7:33,7:39,7:45,7:51,7:57,8:03,8:09,8:15,8:21,8:27,8:33,8:39,8:45,8:52,8:58,9:07,9:11,9:16,9:26,9:36,9:46,9:56,10:06,10:16,10:26,10:36,10:46,10:56,11:06,11:16,11:26,11:36,11:46,11:56,12:06,12:16,12:26,12:36,12:46,12:56,13:06,13:16,13:26,13:36,13:46,13:56,14:06,14:16,14:26,14:36,14:46,14:56,15:06,15:16,15:26,15:36,15:46,15:56,16:06,16:16,16:26,16:36,16:46,,16:56,17:06,17:16,17:25,17:32,17:40,17:47,17:55,18:02,18:10,18:17,18:25,18:32,18:40,18:47,18:55,19:02,19:10,19:17,19:26,19:36,19:46,19:56,20:06,20:16,20:26,20:36,20:46,20:56,21:06,21:16,21:26,21:36,21:48,22:00,22:12,22:24,22:35,22:46,22:58,23:11,23:26,23:42,23:57
和田岬,,5:51,6:06,,6:21,6:36,6:47,,6:58,7:09,,7:16,7:22,7:29,7:35,7:41,7:47,7:53,7:59,8:05,8:11,8:17,8:23,8:29,8:35,8:41,8:47,8:54,9:00,9:09,9:13,9:18,9:28,9:38,9:48,9:58,10:08,10:18,10:28,10:38,10:48,10:58,11:08,11:18,11:28,11:38,11:48,11:58,12:08,12:18,12:28,12:38,12:48,12:58,13:08,13:18,13:28,13:38,13:48,13:58,14:08,14:18,14:28,14:38,14:48,14:58,15:08,15:18,15:28,15:38,15:48,15:58,16:08,16:18,16:28,16:38,16:48,,16:58,17:08,17:18,17:27,17:34,17:42,17:49,17:57,18:04,18:12,18:19,18:27,18:34,18:42,18:49,18:57,19:04,19:12,19:19,19:28,19:38,19:48,19:58,20:08,20:18,20:28,20:38,20:48,20:58,21:08,21:18,21:28,21:38,21:50,22:01,22:13,22:25,22:37,22:48,23:00,23:13,23:28,23:44,23:59
御崎公園,5:40,5:53,6:08,6:18,6:23,6:38,6:49,6:55,7:00,7:11,7:13,7:18,7:24,7:30,7:36,7:42,7:48,7:54,8:00,8:06,8:12,8:18,8:24,8:30,8:36,8:42,8:49,8:55,9:02,9:11,9:15,9:20,9:30,9:40,9:50,10:00,10:10,10:20,10:30,10:40,10:50,11:00,11:10,11:20,11:30,11:40,11:50,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,16:56,17:00,17:10,17:20,17:29,17:36,17:44,17:51,17:59,18:06,18:14,18:21,18:29,18:36,18:44,18:51,18:59,19:06,19:14,19:21,19:30,19:40,19:50,20:00,20:10,20:20,20:30,20:40,20:50,21:00,21:10,21:20,21:30,21:40,21:52,22:03,22:15,22:27,22:39,22:50,23:02,23:15,23:30,23:46,0:01
苅藻,5:41,5:54,6:10,6:19,6:25,6:40,6:51,6:57,7:02,7:12,7:15,7:20,7:26,7:32,7:38,7:44,7:50,7:56,8:02,8:08,8:14,8:20,8:26,8:32,8:38,8:44,8:50,8:57,9:03,9:12,,9:22,9:32,9:42,9:52,10:02,10:12,10:22,10:32,10:42,10:52,11:02,11:12,11:22,11:32,11:42,11:52,12:02,12:12,12:22,12:32,12:42,12:52,13:02,13:12,13:22,13:32,13:42,13:52,14:02,14:12,14:22,14:32,14:42,14:52,15:02,15:12,15:22,15:32,15:42,15:52,16:02,16:12,16:22,16:32,16:42,16:52,16:58,17:02,17:12,17:22,17:30,17:38,17:45,17:53,18:00,18:08,18:15,18:23,18:30,18:38,18:45,18:53,19:00,19:08,19:15,19:23,19:32,19:42,19:52,20:02,20:12,20:22,20:32,20:42,20:52,21:02,21:12,21:22,21:32,21:42,21:53,22:05,22:17,22:29,22:41,22:51,23:04,23:17,23:31,23:47,0:02
駒ヶ林,5:43,5:56,6:11,6:21,6:26,6:41,6:52,6:58,7:03,7:14,7:16,7:21,7:27,7:34,7:40,7:46,7:52,7:58,8:04,8:10,8:16,8:22,8:28,8:34,8:40,8:46,8:52,8:59,9:05,9:14,,9:23,9:33,9:43,9:53,10:03,10:13,10:23,10:33,10:43,10:53,11:03,11:13,11:23,11:33,11:43,11:53,12:03,12:13,12:23,12:33,12:43,12:53,13:03,13:13,13:23,13:33,13:43,13:53,14:03,14:13,14:23,14:33,14:43,14:53,15:03,15:13,15:23,15:33,15:43,15:53,16:03,16:13,16:23,16:33,16:43,16:53,16:59,17:03,17:13,17:23,17:32,17:39,17:47,17:54,18:02,18:09,18:17,18:24,18:32,18:39,18:47,18:54,19:02,19:09,19:17,19:24,19:33,19:43,19:53,20:03,20:13,20:23,20:33,20:43,20:53,21:03,21:13,21:23,21:33,21:43,21:55,22:06,22:18,22:30,22:42,22:53,23:05,23:18,23:33,23:49,0:04
新長田,5:44,5:57,6:13,6:22,6:28,6:43,6:54,7:00,7:05,7:15,7:18,7:23,7:29,7:35,7:41,7:47,7:53,7:59,8:05,8:11,8:17,8:23,8:29,8:35,8:41,8:47,8:54,9:00,9:06,9:15,,9:25,9:35,9:45,9:55,10:05,10:15,10:25,10:35,10:45,10:55,11:05,11:15,11:25,11:35,11:45,11:55,12:05,12:15,12:25,12:35,12:45,12:55,13:05,13:15,13:25,13:35,13:45,13:55,14:05,14:15,14:25,14:35,14:45,14:55,15:05,15:15,15:25,15:35,15:45,15:55,16:05,16:15,16:25,16:35,16:45,16:55,17:01,17:05,17:15,17:25,17:33,17:41,17:48,17:56,18:03,18:11,18:18,18:26,18:33,18:41,18:48,18:56,19:03,19:11,19:18,19:26,19:35,19:45,19:55,20:05,20:15,20:25,20:35,20:45,20:55,21:05,21:15,21:25,21:35,21:45,21:56,22:08,22:20,22:32,22:44,22:54,23:07,23:20,23:34,23:50,0:06